Package Category,Initial Email,Responded Email
General,I need to change my shipping address. Thanks in advance.,Your delivery address has been updated. A support representative will follow up if needed.
Transit,Can you tell me why tracking stopped updating?,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Investigations,Tracking hasn't changed in over a week. Order #10906.,Our investigations team is reviewing the delay.
Transit,Where is my package? It hasn't updated since yesterday. Thanks in advance.,Your shipment is still moving through the carrier network.
General,I need to change my shipping address. Order #10908.,Your delivery address has been updated. Our support team is monitoring this case.
Shipped,Can you send me my tracking information? This is urgent.,Your tracking number has been emailed to you. A support representative will follow up if needed.
Transit,The tracking page says in transit for days. Thanks in advance.,Your package is still on the way and should arrive soon. A support representative will follow up if needed.
Investigations,Can you check if the package was misplaced? Order #10911.,We escalated the issue with the shipping carrier.
Shipped,When will my order leave the warehouse? Thanks in advance.,Your package is scheduled to ship later today. You will receive another update shortly.
Shipped,Can you send me my tracking information? This is urgent.,Your tracking number has been emailed to you.
Transit,The tracking page says in transit for days.,Your package is still on the way and should arrive soon. Thank you for your patience.
Delivered,My tracking says delivered but I can't find the package.,We have contacted the carrier to verify the delivery details. We appreciate your understanding.
Investigations,My package appears lost. This is urgent.,We have opened a carrier investigation for your shipment.
General,Can I cancel my order before it ships? Thanks in advance.,Your cancellation request has been completed. Please allow additional time for updates.
Shipped,Did my package already go out? Please help.,"Yes, the carrier picked up your package this morning."
Delivered,My tracking says delivered but I can't find the package. Order #10919.,We have contacted the carrier to verify the delivery details. You will receive another update shortly.
Transit,The tracking page says in transit for days. Thanks in advance.,Your package is still on the way and should arrive soon.
General,How do I update my contact information? Order #10921.,Your account details have been updated successfully. A support representative will follow up if needed.
Investigations,My package appears lost. Please help.,We have opened a carrier investigation for your shipment.
Shipped,Has my order shipped yet? Thanks in advance.,Your order has already been shipped. We appreciate your understanding.
Delivered,The item arrived damaged.,We are arranging a replacement shipment for you. You will receive another update shortly.
Investigations,The package never arrived and tracking stopped. This is urgent.,An investigation has been initiated to locate the shipment. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? This is urgent.,The carrier expects the package to move within the next 24 hours. Our support team is monitoring this case.
Shipped,Did my package already go out? Thanks in advance.,"Yes, the carrier picked up your package this morning."
Delivered,My tracking says delivered but I can't find the package. Please help.,We have contacted the carrier to verify the delivery details. A support representative will follow up if needed.
Delivered,The package was delivered to the wrong address. This is urgent.,We are reviewing the GPS delivery scan with the carrier.
Transit,Can you tell me why tracking stopped updating?,Tracking updates may take time between scan locations. A support representative will follow up if needed.
Investigations,Tracking hasn't changed in over a week. Thanks in advance.,Our investigations team is reviewing the delay.
General,I need to change my shipping address.,Your delivery address has been updated. Our support team is monitoring this case.
General,Can I cancel my order before it ships? This is urgent.,Your cancellation request has been completed. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? Please help.,The carrier expects the package to move within the next 24 hours.
Investigations,Tracking hasn't changed in over a week. Order #10935.,Our investigations team is reviewing the delay.
Investigations,My package appears lost. Order #10936.,We have opened a carrier investigation for your shipment.
General,How do I update my contact information? Please help.,Your account details have been updated successfully.
General,I entered the wrong apartment number. Please help.,We corrected the address on your order.
Investigations,I think my shipment is missing. Order #10939.,We are actively working with the carrier to resolve the issue. Thank you for your patience.
Transit,My package is delayed in transit. Order #10940.,We apologize for the delay and are monitoring the shipment closely. Our support team is monitoring this case.
Shipped,When will my order leave the warehouse? Order #10941.,Your package is scheduled to ship later today. Our support team is monitoring this case.
Delivered,My order says delivered but nothing was left at my door. Order #10942.,Please check nearby areas while we investigate the delivery.
Investigations,Can you check if the package was misplaced? Thanks in advance.,We escalated the issue with the shipping carrier. A support representative will follow up if needed.
Delivered,My order says delivered but nothing was left at my door. This is urgent.,Please check nearby areas while we investigate the delivery. A support representative will follow up if needed.
Shipped,I need the shipment confirmation for my order. This is urgent.,Your shipment confirmation has been sent successfully. Thank you for your patience.
Investigations,Tracking hasn't changed in over a week. Please help.,Our investigations team is reviewing the delay.
Shipped,Has my order shipped yet? This is urgent.,Your order has already been shipped. Please allow additional time for updates.
Delivered,The package was delivered to the wrong address. Order #10948.,We are reviewing the GPS delivery scan with the carrier.
Transit,My package is delayed in transit. Please help.,We apologize for the delay and are monitoring the shipment closely.
Delivered,The package was delivered to the wrong address. This is urgent.,We are reviewing the GPS delivery scan with the carrier.
Delivered,The item arrived damaged. Order #10951.,We are arranging a replacement shipment for you. Our support team is monitoring this case.
Delivered,The item arrived damaged. Order #10952.,We are arranging a replacement shipment for you. A support representative will follow up if needed.
General,Can I cancel my order before it ships? Please help.,Your cancellation request has been completed. A support representative will follow up if needed.
Shipped,Can you send me my tracking information? Thanks in advance.,Your tracking number has been emailed to you.
General,I entered the wrong apartment number.,We corrected the address on your order. A support representative will follow up if needed.
Delivered,My tracking says delivered but I can't find the package. Please help.,We have contacted the carrier to verify the delivery details.
General,Can I cancel my order before it ships? This is urgent.,Your cancellation request has been completed. Please allow additional time for updates.
General,Can I cancel my order before it ships? Order #10958.,Your cancellation request has been completed. You will receive another update shortly.
Investigations,I think my shipment is missing. This is urgent.,We are actively working with the carrier to resolve the issue. Our support team is monitoring this case.
Investigations,I think my shipment is missing. Please help.,We are actively working with the carrier to resolve the issue. A support representative will follow up if needed.
Transit,My package is delayed in transit. Order #10961.,We apologize for the delay and are monitoring the shipment closely. Please allow additional time for updates.
General,I want to place a replacement order.,We can assist you with a replacement purchase. We appreciate your understanding.
Shipped,Has my order shipped yet?,Your order has already been shipped. You will receive another update shortly.
General,Can I cancel my order before it ships? Thanks in advance.,Your cancellation request has been completed. We appreciate your understanding.
Delivered,I received an empty package. Order #10965.,We are investigating the missing contents immediately. You will receive another update shortly.
Shipped,Can you send me my tracking information? Please help.,Your tracking number has been emailed to you. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? This is urgent.,The carrier expects the package to move within the next 24 hours. Our support team is monitoring this case.
Investigations,Tracking hasn't changed in over a week. This is urgent.,Our investigations team is reviewing the delay. Please allow additional time for updates.
General,I want to place a replacement order. Please help.,We can assist you with a replacement purchase. A support representative will follow up if needed.
Investigations,Tracking hasn't changed in over a week. Please help.,Our investigations team is reviewing the delay. A support representative will follow up if needed.
Delivered,My tracking says delivered but I can't find the package. Order #10971.,We have contacted the carrier to verify the delivery details.
General,I entered the wrong apartment number.,We corrected the address on your order.
Delivered,I received an empty package. Order #10973.,We are investigating the missing contents immediately. You will receive another update shortly.
Delivered,I received an empty package. This is urgent.,We are investigating the missing contents immediately. A support representative will follow up if needed.
Investigations,The package never arrived and tracking stopped.,An investigation has been initiated to locate the shipment. A support representative will follow up if needed.
Shipped,I need the shipment confirmation for my order. Please help.,Your shipment confirmation has been sent successfully. Please allow additional time for updates.
Investigations,Tracking hasn't changed in over a week. Order #10977.,Our investigations team is reviewing the delay. Thank you for your patience.
Delivered,I received an empty package. Thanks in advance.,We are investigating the missing contents immediately. A support representative will follow up if needed.
General,How do I update my contact information? Please help.,Your account details have been updated successfully. A support representative will follow up if needed.
Transit,My package is delayed in transit.,We apologize for the delay and are monitoring the shipment closely. A support representative will follow up if needed.
Shipped,Has my order shipped yet? Please help.,Your order has already been shipped. A support representative will follow up if needed.
Transit,Why has my package been sitting at the same facility? Order #10982.,The carrier expects the package to move within the next 24 hours. A support representative will follow up if needed.
Shipped,Has my order shipped yet? Please help.,Your order has already been shipped. Our support team is monitoring this case.
Delivered,My order says delivered but nothing was left at my door.,Please check nearby areas while we investigate the delivery. We appreciate your understanding.
Delivered,I received an empty package. Thanks in advance.,We are investigating the missing contents immediately. A support representative will follow up if needed.
Shipped,Did my package already go out? Please help.,"Yes, the carrier picked up your package this morning."
Shipped,Has my order shipped yet?,Your order has already been shipped.
General,I want to place a replacement order. Order #10988.,We can assist you with a replacement purchase. We appreciate your understanding.
Investigations,I think my shipment is missing. This is urgent.,We are actively working with the carrier to resolve the issue. A support representative will follow up if needed.
Transit,The tracking page says in transit for days.,Your package is still on the way and should arrive soon. A support representative will follow up if needed.
Shipped,I need the shipment confirmation for my order.,Your shipment confirmation has been sent successfully.
Delivered,The package was delivered to the wrong address. This is urgent.,We are reviewing the GPS delivery scan with the carrier. A support representative will follow up if needed.
Shipped,I need the shipment confirmation for my order. Thanks in advance.,Your shipment confirmation has been sent successfully. Thank you for your patience.
Investigations,The package never arrived and tracking stopped. This is urgent.,An investigation has been initiated to locate the shipment.
Delivered,The package was delivered to the wrong address. This is urgent.,We are reviewing the GPS delivery scan with the carrier. A support representative will follow up if needed.
General,I need to change my shipping address.,Your delivery address has been updated. A support representative will follow up if needed.
Delivered,My tracking says delivered but I can't find the package. Order #10997.,We have contacted the carrier to verify the delivery details. Thank you for your patience.
Delivered,My order says delivered but nothing was left at my door. Order #10998.,Please check nearby areas while we investigate the delivery.
General,I need to change my shipping address. Order #10999.,Your delivery address has been updated. Our support team is monitoring this case.
General,How many days do I have to return the item, Hi so our policy is that we allow up to 30 days to return a package
